Coinbase Pay,Coinbase Pay is a payment feature that allows you to buy or transfer supported crypto on Coinbase.com directly from self-custody wallets (like MetaMask) and dapps.,,,Ecosystem term,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,코인베이스 페이,کوین‌بیس پِی,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,कॉइनबेस Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,Coinbase Pay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold storage,"cold wallet/cold storage: An offline wallet that is never connected to the internet. These wallets protect cryptocurrencies from getting hacked online. For more information, check out MetaMask's Hardware Wallet Hub:
Hardware Wallet Hub",,,Brand name,冷存储,stockage déconnecté,Cold Storage,cold storage,cold storage,콜드 스토리지,کیف پول سرد,cold storage,холодное хранилище,almacenamiento en frío,malamig na imbakan,ที่เก็บเงินระยะยาว,soğuk depolama,kho lạnh,التخزين البارد (غير متصل بالإنترنت),冷儲存,koude opslag/cold storage,ψυχρή αποθήκευση,कोल्ड स्टोरेज,hideg tárolás,コールドストレージ,Zimny portfel (cold wallet),холодне сховище,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold wallet / cold storage,"An offline wallet that is never connected to the internet. These wallets protect cryptocurrencies from getting hacked online. For more information, check out MetaMask's Hardware Wallet Hub.",,,Blockchain term,冷钱包 / 冷存储,portefeuille déconnecté /stockage déconnecté,Cold Wallet / Cold Storage,cold wallet / cold storage,cold wallet / cold storage,콜드 월렛 / 콜드 스토리지,کیف پول سرد/رذخیره‌سازی سرد,cold wallet / cold storage,холодный кошелек / холодное хранилище,monedero en frío / almacenamiento en frío,malamig na wallet / malamig na imbakan,วอลเล็ตเงินเย็น / ที่เก็บเงินระยะยาว,soğuk cüzdan / soğuk depolama,ví lạnh/kho lạnh,محفظة باردة / تخزين بارد,冷錢包 / 冷儲存,koude wallet/koude opslag/cold storage,ψυχρό πορτοφόλι / ψυχρή αποθήκευση,कोल्ड वॉलेट / कोल्ड स्टोरेज,hideg pénztárca/hideg tárolás,コールドウォレット / コールドストレージ,Zimny portfel (cold wallet),холодний гаманець/холодне сховище,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Platform,"A community platform is a dedicated virtual space where people who share the same goals, interests, or motivations can connect and build relationships.

MetaMask's community platform can be accessed here:
MetaMask Community",,,Ecosystem term,社区平台,Plateforme communautaire,Community-Plattform,Platform Komunitas,Piattaforma della community,커뮤니티 플랫폼,پلتفرم انجمن,Plataforma da Comunidade,Платформа сообщества,plataforma comunitaria,Platform ng Komunidad,แพลตฟอร์มชุมชน,Topluluk Platformu,Nền tảng cộng đồng,منصة المجتمع,社群平台,communityplatform,Πλατφόρμα Κοινότητας,कम्युनिटी प्लेटफ़ॉर्म,Közösségi platform,コミュニティプラットフォーム,Platforma społeczności,Платформа спільноти,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compiling,"There are many languages in computing and software programming. In general, 'low-level' languages are those actually processed by the computer's operating system or processor, while 'high-level' languages are those typed in by software developers making programs. Compiling, then, is converting code written in a high-level programming language (e.g., Solidity) into a lower-level language (e.g., EVM bytecode).",,,MetaMask term,编译,Compiler,Kompilierung,Mengompilasi,Compiling,컴파일링,همگردانی,Compilação,Компиляция,compilación,Pinagsasama-sama,การคอมไพล์,Derleme,Biên dịch,تجميع,編譯,Compiling,Μεταγλώττιση,कम्पाइलिंग,összeállítás,コンパイル,Kompilowanie,Компіляція,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,"Compound is a decentralized, blockchain-based protocol that allows you to lend and borrow crypto — and have a say in its governance with its native COMP token.",,,Software term,Compound,Compound,Compound,Compound,Compound,컴파운드,کامپاند,Compound,Compound,Compound,Compound,Compound,Compound,Compound,بروتوكول Compound,Compound,Compound,Compound,Compound,összetett,Compound,Compound,Compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confirmation,"A confirmation happens when a network has verified a blockchain transaction. Under a Proof of Work (PoW) consensus mechanism, this happens through a process known as mining; under Proof of Stake (PoS), the process is known as validation. Once a transaction is successfully confirmed, it theoretically cannot be reversed or double spent. The more confirmations a transaction has, the harder it becomes to perform a double spend attack.",,,Brand name,确认,confirmation,Bestätigung,konfirmasi,conferma,컨펌,تایید,confirmação,подтверждение,confirmación,kumpirmasyon,การยืนยัน,onay,xác nhận,تأكيد,確認,bevestiging,επιβεβαίωση,कन्फर्मेशन,megerősítés,承認,Potwierdzenie transakcji,підтвердження,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
consensus,"The process used by a group of peers, or nodes, on a blockchain network to agree on the validity of transactions submitted to the network. Dominant consensus mechanisms are Proof of Work (PoW) and Proof of Stake (PoS).",,,Ecosystem term,共识,consensus,Konsens,konsensus,consensus,컨센서스,اجماع,consenso,консенсус,consenso,pinagkasunduan,	ฉันทามติ,fikir birliği,đồng thuận,خوارزمية الإجماع,共識層,consensus,πολιτική συναίνεσης,कन्सेन्सस,konszenzus,コンセンサス,Konsensus,консенсус,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consensus client,"A consensus client is a component of a blockchain node that is responsible for validating and verifying transactions and blocks in the network. It communicates with other nodes to reach consensus on the current state of the blockchain and to ensure that all nodes have a consistent copy of the ledger.

There are various types of consensus mechanisms used in blockchain networks, including proof of work (PoW), proof of stake (PoS), and delegated proof of stake (DPoS). The consensus client implements the specific consensus mechanism used by the network and ensures that all nodes follow the rules and reach agreement on the current state of the blockchain.",,,Blockchain term,共识客户端,client de consensus,Konsens-Client,Klien konsensus,Consensus client,컨센서스 클라이언트,کلاینت اجماع,Cliente de consenso,Клиент консенсуса,cliente de consenso,Kliyente ng kasunduan,ไคลเอ็นต์ฉันทามติ,Fikir birliği istemcisi,Ứng dụng đồng thuận,عميل إجماع,共識客戶端,consensus-client,Πελάτης συναίνεσης,कन्सेन्सस क्लाइंट,konszenzusos ügyfél,コンセンサスクライアント,Klient konsensusu,Консенсус-клієнт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consensus layer,"The consensus layer is responsible for validating and verifying transactions and blocks, and for coordinating communication between nodes to achieve consensus. In a blockchain network, the consensus layer is implemented by the consensus protocol or algorithm that defines how new blocks are added to the chain and how the network reaches agreement on the current state of the ledger. ",,,Blockchain term,共识层,couche de consensus,Konsens-Layer,Layer konsensus,Consensus layer,합의 레이어,لایه اجماع,Camada de consenso,Уровень консенсуса,capa de consenso,Layer ng kasunduan,เลเยอร์ฉันทามติ,Fikir birliği katmanı,Lớp đồng thuận,طبقة الإجماع,共識層,consensuslaag,Επίπεδο συναίνεσης,कन्सेन्सस लेयर,konszenzusos réteg,コンセンサスレイヤー,Warstwa konsensusu,Рівень консенсусу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consensus mechanism,Consensus mechanisms (also known as consensus protocols or consensus algorithms) allow distributed systems (networks of computers) to work together and stay secure.,,,Blockchain term,共识机制,mécanisme de consensus,Konsens-Mechanismus,Mekanisme konsensus,Meccanismo di consenso,합의 메커니즘,مکانیزم اجماع,Mecanismo de consenso,Механизм консенсуса,mecanismo de consenso,Mekanismo ng kasunduan,กลไกฉันทามติ,Fikir birliği mekanizması,Cơ chế đồng thuận,آلية الإجماع,共識機制,consensusmechanisme,Μηχανισμός συναίνεσης,कन्सेन्सस मैकेनिज्म,konszenzus mechanizmusa,コンセンサスメカニズム,Mechanizm konsensusu,Механізм консенсусу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConsenSys,"Short for Consensus Systems, ConsenSys is the software engineering leader of the blockchain space.",,,Blockchain term,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,کانسنسیس,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,Consensys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constantinople fork,"One of the ""hard forks"" made to the Ethereum network, in February 2019. For more detailed information, see here; see also ""hard fork"".",,,Company name,君士坦丁堡分叉,Fork Constantinople,Constantinople-Fork,Constantinople fork,Fork di Costantinopoli,콘스탄티노플 포크,فورک قسطنطنیه,Bifurcação Constantinople,Константинопольский форк,bifurcación Constantinople,Constantinople fork,การแยกคอนสแตนติโนเปิล,Constantinople çatalı,Phân nhánh Constantinople,انقسام (فورك) Byzantium,君士坦丁堡硬分叉,Constantinople fork,Constantinople fork,कॉन्स्टेंटिनोपल फोर्क,konstantinápolyi villa,コンスタンティノープルフォーク,Fork Constantinople,Форк «Константинополь»,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contract,See smart contract,,,Ecosystem term,合约,contrat,Contract,kontrak,contratto,계약,قرارداد,contrato,контракт,contrato,kontrata,สัญญา,sözleşme,hợp đồng,عقد,合約,contract,συμβόλαιο,कॉन्ट्रैक्ट,szerződés,コントラクト,Kontrakt,контракт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract account,An account containing code that executes whenever it receives a transaction from another account (EOA or contract).,,,Blockchain term,合约账户,compte du contrat,Vertragskonto,Akun kontrak,Account del contratto,계약 계정,حساب قرارداد,Conta do contrato,Контрактный счет,cuenta de contrato,Account ng kontrata,บัญชีสัญญา,Sözleşme hesabı,Tài khoản hợp đồng,حساب العقد,合約帳戶,contract-account,συμβατικό ποσό,कॉन्ट्रैक्ट अकाउंट,szerződéses számla,コントラクトアカウント,Konto kontraktowe,Контрактний обліковий запис,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoolWallet,"A crypto hardware wallet for Bitcoin, Ethereum, Litecoin, Bitcoin Cash, and ERC20 Token.",,,Blockchain term,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,쿨월렛,کول‌ولت,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,CoolWallet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto asset,"A useful blanket term that covers on-chain assets: cryptocurrencies, NFTs, and other, still emerging, products.",,,Brand name,加密货币资产,cryptoactif,Krypto-Asset,aset kripto,crypto asset,암호자산,دارایی رمزارزی,criptoativo,криптоактив,cripto,crypto na asset,สินทรัพย์คริปโต,kripto varlığı,tài sản tiền mã hoá,أصل مشفر,加密資產,crypto-asset,περιουσιακό στοιχείο κρυπτονομίσματος,क्रिप्टो एसेट,kriptoeszköz,暗号資産,Kryptoaktywa,криптоактив,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto bounties,"Crypto bounties are an important rewards mechanism that blockchain projects utilize in order to secure the successful accomplishments of certain tasks required by the network. Initially, bounties were intended as a marketing tool to attract users to participate in performing validation services for blockchain projects. Today, crypto bounties have developed significantly beyond the purpose of a simple marketing tool. crypto bounties ",,,Blockchain term,加密货币赏金,primes crypto,Krypto-Belohnungen,bounty kripto,crypto bounty,암호 현상금,پاداش‌های رمزی,recompensas de criptomoedas,крипто-баунти,criptoactivo,mga pabuya ng crypto,รางวัลคริปโต,kripto bounty ödülleri,tiền thưởng tiền mã hoá,مكافآت التشفير,加密獎金,cryptobounty's,επιβραβεύσεις κρυπτονoμίσματος,क्रिप्टो बाउन्टीज़,kriptojutalmak,クリプトバウンティ,Programy bounty,крипто-баунті,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto fund,A crypto fund is a type of investment fund that focuses on investing in cryptocurrencies or companies involved in the cryptocurrency industry. These funds are designed to give investors exposure to the crypto market without the need for them to directly buy and hold cryptocurrencies themselves.,,,Ecosystem term,加密货币基金,fonds crypto,Krypto-Fond,dana kripto,crypto fund,암호화폐 펀드,صندوق رمزارزی,criptofundo,криптофонд,,pondo ng crypto,กองทุนคริปโต,kripto fonu,quỹ tiền mã hoá,صندوق استثمار الأصول المشفرة,加密基金,cryptofonds,χρηματοδότηση κρυπτονομίσματος,क्रिप्टो फंड,kripto alap,暗号資産ファンド,Kryptowalutowy fundusz inwestycyjny,криптофонд,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto wallet,"A crypto wallet is a device, physical medium, program or a service which stores the public and/or private keys for cryptocurrency transactions.
Crypto wallets come in different forms, including software wallets, hardware wallets, and paper wallets.",,,Blockchain term,加密货币钱包,portefeuille crypto,Krypto-Wallet,dompet kripto,wallet crypto ,암호화폐 지갑,کیف پول رمزارز,carteira de criptomoedas,криптокошелек,criptofondo,wallet ng crypto,วอลเล็ตคริปโต,kripto cüzdanı,ví tiền mã hoá,محفظة العملات المشفرة,加密錢包,cryptowallet,πορτοφόλι κρυπτονομίσματος,क्रिप्टो वॉलेट,kripto pénztárca,暗号資産ウォレット,Portfel kryptowalutowy,криптогаманець,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto-,"Even though this prefix is originally Greek, our current usage comes from cryptography. Technologies that are referred to with the blanket term of ""crypto"" tech are underlain by cryptographic tools and processes (such as public/private key pairs) that enable innovative functionality and security. Of course, ""cryptocurrency"" often gets shortened to simply ""crypto"", so this emerging field is full of instances where something ""crypto"" is being added to or shortened. With the emergence of the term ""Web3"", arguably a distinction has begun to be made between ""crypto"", referring to DeFi and other financial use cases of the technology, while ""Web3"" refers to the transition of Internet-based activities to more decentralized practices and platforms.",,,Blockchain term,加密-,crypto-,Krypto-,kripto-,crypto-,암호화,رمزارزی,cripto,крипто,criptomonedero,crypto-,คริปโต,kripto-,tiền mã hoá,-مشفرة,加密-,crypto-,κρυπτο-,क्रिप्टो-,kripto-,クリプト-,Krypto-,крипто-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crypto-compliance,A blanket term used to refer to ensuring crypto projects conform with applicable regulations and laws.,,,Ecosystem term,加密-合规,compliance crypto,Krypto-Compliance,kepatuhan kripto,crypto-compliance,암호화폐 컴플라이언스,انطباق رمزنگاری,criptocompliance,крипто-комплаенс,criptoactivos,crypto-compliance,การปฏิบัติตามกฎระเบียบคริปโต,kripto uyumu,tuân thủ tiền mã hoá,امتثال الأصول المشفرة,加密-合規,crypto-compliance,κρυπτο-συμμόρφωση,क्रिप्टो-कंप्लायंस,kripto-megfelelőség,クリプトコンプライアンス,Crypto-compliance (zgodność z przepisami),криптовідповідність,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cryptoassets,"A useful blanket term that covers on-chain assets: cryptocurrencies, NFTs, and other, still emerging, products.",,,Ecosystem term,加密资产,cryptoactifs,Krypto-Assets,aset kripto,cryptoasset,암호 자산,دارایی‌های رمزنگاری شده,criptoativos,криптоактивы,criptocumplimiento,cryptoassets,สินทรัพย์คริปโต,kripto varlıklar,tài sản tiền mã hoá,الأصول المشفرة,加密資產,cryptoassets,κρυπτοπεριουσιακά στοιχεία,क्रिप्टोएसेट्स,kriptoeszközök,暗号資産,Kryptoaktywa,криптоактиви,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cryptocurrency,"Digital currency that is based on mathematics and uses encryption techniques to regulate the creation of units of currency as well as verifying the transfer of funds. Cryptocurrencies operate independently of a central bank, and are kept track of through distributed ledger technology.",,,Ecosystem term,加密货币,cryptomonnaie,Kryptowährung,mata uang kripto,criptovaluta,암호화폐,رمزارز,criptomoeda,криптовалюта,criptomoneda,cryptocurrency,เงินคริปโต,kripto para,tiền mã hoá,عملة مشفرة,加密貨幣,cryptocurrency/cryptomunt,κρυπτονόμισμα,क्रिप्टोकरेंसी,kriptovaluta,仮想通貨,Kryptowaluta,криптовалюта,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cryptoeconomics,"The economic analysis of decentralized finance; notably, the MIT Cryptoeconomics Lab.",,,Ecosystem term,加密经济,Cryptoéconomie,Kryptoökonomie,kriptonomik,cryptoeconomics,암호경제학,اقتصاد رمزارز محور,criptoeconomia,криптоэкономика,criptoeconomía,cryptoeconomics,เศรษฐกิจคริปโต,kripto ekonomi,kinh tế tiền mã hoá,اقتصاديات الأصول المشفرة,加密經濟學,crypto-economie,κρυπτοοικονομία,क्रिप्टोइकोनॉमिक्स,kriptoökonómia,クリプトエコノミクス,Kryptoekonomia,криптоекономіка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cryptography,"In its broadest sense, cryptography is the art of 'hidden writing' -- using some sort of code to encrypt writing. In modern times, it often refers to the application of this concept within computing, communication, and data transfer through computers and computer networks. Cryptography has been protected as free speech in the United States, and provides the technological foundation that allows blockchain networks to be public: despite the ledger being open and accessible by all, control over the state of the ledger and the ability to move assets on it is mediated through cryptographic tools, such as the Secret Recovery Phrase.",,,Ecosystem term,加密学,cryptographie,Kryptographie,kriptografi,crittografia,암호화,رمزنگاری,criptografia,криптография,criptografía,kriptograpiya,วิทยาการเข้ารหัส,kriptografi,mật mã học,التشفير,密碼學,cryptografie,Κρυπτογράφηση,क्रिप्टोग्राफी,kriptográfia,暗号技術,Kryptografia,криптографія,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve,Curve is a decentralized exchange for stablecoins that uses an automated market maker (AMM) to manage liquidity.,,,Blockchain term,Curve,Curve,Curve,Curve,Curve,커브,کِرو,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,Curve,ív,Curve,Curve,Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
custody (noun),"In the context of cryptocurrencies, custody refers to the safekeeping and management of digital assets on behalf of a client by a third-party service provider. Custody services are an important aspect of the cryptocurrency industry because cryptocurrencies are digital assets that require secure storage and management to prevent loss, theft, or unauthorized access.

Crypto custody services are typically offered by specialized companies that provide secure storage solutions for cryptocurrencies. These companies use various security measures such as multi-signature authentication, cold storage, and insurance to protect their clients' assets.",,,Brand name,托管,Dépôt (nom),Verwahrung,penyimpanan (noun),custodia (noun),커스터디(명사),حضانت,custódia,депозитарное хранение,custodia,kustodiya (pangngalan),การเก็บรักษา,saklayıcı kurum,dịch vụ lưu ký (danh từ),الحفظ الآمن,託管,custody/bewaring/beheer,επιμέλεια,कस्टडी (नाउन),tárolás,カストディ,Usługi powiernicze,самостійне зберігання,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'CENT,Hardware wallet.,,,Blockchain term,D'CENT,D’CENT,D'CENT,D'CENT,D'CENT,디센트,کیف پول D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,D'CENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAI,DAI is an Ethereum-based stablecoin whose issuance and development is managed by the Maker Protocol and the MakerDAO decentralized autonomous organization.,,,Brand name,DAI,DAI,DAI,DAI,DAI,DAI,دای,DAI,DAI,DAI,DAI,DAI,DAI,DAI,عملة DAI,DAI ,DAI,DAI,DAI,DAI,DAI,DAI,DAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAO,Acronym; see 'Decentralized Autonomous Organization'.,,,Blockchain term,DAO（去中心化自治组织）,DAO,DAO,DAO,DAO,다오,دائو,DAO,ДАО,DAO,DAO,DAO,DAO,DAO,منظمة مستقلة لامركزية (DAO),分散式自治組織,DAO,DAO,DAO,DAO,DAO,DAO,DAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dapp,Acronym; see 'decentralized application',,,Ecosystem term,dapp（去中心化应用）,dApp,dApp,dapp,dapp,디앱,dapp,dapp,dapp,dapp,dapp,ดีแอป,merkeziyetsiz uygulama,dapp,تطبيق لامركزي (dapp),去中心化應用程式,dapp,dapp (αποκεντρωμένη εφαρμογή),dapp,dapp,DApp,DApp,децентралізований додаток,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentralization,"The transfer of authority and responsibility from a centralized organization, government, or party to a distributed network.",,,Blockchain term,去中心化,Décentralisation,Dezentralisierung,desentralisasi,decentralizzazione,탈중앙화,تمرکززدایی,descentralização,децентрализация,descentralización,desentralisasyon,กระจายศูนย์,yerinden yönetim,phi tập trung,اللامركزية,去中心化,decentralisatie,αποκέντρωση,डीसेंट्रलाइज़ेशन,decentralizálás,分散化,Decentralizacja,децентралізація,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decentralized application,"An open-source software application with backend (not user-facing) code running on a decentralized peer-to-peer network, rather than a centralized server.  You may see alternate spellings: dApps, DApps, Dapps, and Đapps.",,,Ecosystem term,去中心化应用,application décentralisée,Dezentralisierte Anwendung,aplikasi terdesentralisasi,applicazione decentralizzata,탈중앙화 애플리케이션,برنامه غیرمتمرکز,aplicativo descentralizado,децентрализованное приложение,aplicación descentralizada,decentralized application,แอปพลิเคชันกระจายศูนย์,merkezi olmayan uygulama,ứng dụng phi tập trung,تطبيق لامركزي,去中心化應用程式,decentrale app,αποκεντρωμένη εφαρμογή,decentralized application,decentralizált alkalmazás,分散型アプリケーション,Zdecentralizowana aplikacja,децентралізований додаток,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
